local-authority-code,overlap
EAL,HRW|HMF|GLA|BEN|HNS|HIL
HAV,BRW|BEX|BDG|ESS|THR|GLA|RDB|EPP
HIL,HRT|BUC|HRW|SRY|SLG|EAL|SPE|GLA|THE|HNS
HRW,HRT|BNE|HER|EAL|GLA|THE|BEN|HIL
BEN,KEC|BNE|WSM|HRW|HMF|CMD|EAL|GLA
BNE,HRT|HER|HRY|HRW|CMD|ENF|GLA|BEN
LBH,BRY|CRY|WND|MRT|WSM|LND|GLA|SWK
SWK,BRY|LBH|LND|GLA|TWH|LEW
LEW,BRY|GRE|GLA|TWH|SWK
GRE,BRY|BEX|BDG|GLA|TWH|LEW|NWM
BEX,BRY|KEN|BDG|SEV|THR|GRE|GLA|DAR|HAV
ENF,HRT|BNE|HER|WFT|HRY|WEW|ESS|GLA|BRX|EPP
WFT,ESS|HRY|HCK|ENF|GLA|RDB|EPP|NWM
RDB,BDG|ESS|WFT|GLA|HAV|EPP|NWM
STN,CRY|REI|MRT|EPS|KTT|GLA|WAR
RIC,WND|KTT|HMF|SRY|GLA|SPE|ELM|HNS
MRT,CRY|STN|WND|LBH|KTT|GLA
WND,KEC|MRT|RIC|LBH|KTT|HMF|WSM|GLA
HMF,WND|KEC|RIC|EAL|GLA|BEN|HNS
KEC,WND|WSM|HMF|GLA|BEN
WSM,WND|KEC|LBH|CMD|LND|GLA|BEN
CMD,ISL|BNE|HRY|WSM|LND|GLA|BEN
TWH,HCK|GRE|LND|GLA|LEW|SWK|NWM
ISL,HRY|HCK|CMD|LND|GLA
HCK,ISL|HRY|WFT|LND|GLA|TWH|NWM
HRY,ISL|BNE|WFT|HCK|CMD|ENF|GLA
NWM,BDG|HCK|WFT|GRE|GLA|TWH|RDB
BDG,BEX|GRE|GLA|RDB|HAV|NWM
LND,ISL|LBH|WSM|HCK|CMD|GLA|TWH|SWK
NNO,BRE|BRO|NFK|KIN|GRY
SHA,CON|WDE|TEI|PLY|TOB|DEV
TOR,CON|MDE|WDE|NDE|DEV
ANN,MUL|MEA|ABC|BFS|LBC
ABC,ANN|MUL|LBC|NMD
BFS,ANN|LBC|AND
CCG,MUL|DRS|MEA
DRS,FMO|MUL|CCG
FMO,MUL|DRS
LBC,ANN|ABC|AND|BFS|NMD
MEA,ANN|CCG|MUL
MUL,FMO|ANN|ABC|MEA|CCG|DRS
NMD,AND|ABC|LBC
AND,BFS|LBC|NMD
CAM,ECA|FEN|CPCA|UTT|HUN|NHE|BRA|SHO|KIN|SCA|PTE|WSK|CAB|BDF|NNT|CBF
CMA,DUR|DGY|COP|LAC|CRA|SCB|BAR|NBL|RIH|SLA|CAR|ALL|EDN
DBY,SHF|RUS|SKP|DEB|HIG|ASH|CHS|BOS|AMB|ROT|LIF|TAM|NWL|BNS|NED|EST|KIR|BRT|ERE|OLD|SDE|CHE|DER|STF
DEV,CON|EXE|MDE|TEI|PLY|MAS|ASH|CHS|BOS|AMB|TOB|BAE|SWT|ROT|DST|NED|WDE|EDE|TOR|NDE|SHA|SSO
ESS,BRW|MAL|CHL|HAR|ROC|UTT|THR|BAI|EHE|WFT|ENF|SOS|MDW|BRX|RDB|HAV|CAS|EPP
ESX,LEE|ROH|SEV|WEA|MSS|HAS|TUN|ASF|BNH|TAN|EAS|SHE
GLA,HRW|KTT|ENF|TWH|RDB|SWK|BEX|BNE|RIC|GRE|LND|HNS|LEW|CRY|STN|KEC|BDG|LBH|WFT|MRT|HMF|WSM|HRY|EAL|NWM|BRY|WND|ISL|HCK|CMD|BEN|HAV|HIL
GLS,CHT|GLO|BAB|COL|FOE|SCA|MAV|WOX|MAL|VAL|ROC|UTT|EHE|SGC|CHL|COT|WIL|WSK|WYC|EPP|BRW|STR|BAI|SWD|TEW|TEN|NHE|HEF|STO|BRA|MON
HAM,GOS|TES|BRC|HAA|BAN|POR|EAT|CHI|FAR|EHA|WAE|WOK|WIN|RUH|HAT|SUR
HRT,HER|HRW|ENF|WBK|SUR|TES|BNE|UTT|EHE|FAR|EHA|WAE|GRT|WIN|SAL|BPC|HAT|STV|BAN|EAT|WIL|NEW|BRX|DST|EPP|DAC|HAR|BUC|WEW|NHE|THE|WOK|RUH|STH|WAT|HIL
KEN,GRA|ROH|SWL|WEA|HER|THR|ASF|SCA|DAR|TON|BEX|UTT|EHE|TUN|MDW|SAL|CBF|SEV|STV|LUT|TAN|MAI|DAC|BRY|BUC|WEW|NHE|THE|WAT
LAN,ROH|SWL|BBD|RIB|ASF|PRE|CHO|BOL|SRI|LAC|TUN|SFT|MDW|WLA|WYR|BPL|CAT|KWL|MAI|FYL|DOV|SHN|THA|WGN|SHE
LCR,WRL|LIV|KWL|SHN|SFT|HAL
LEC,RCH|RUS|HAO|OAD|BBD|RIB|PRE|NUN|NWA|HIN|NNT|SRI|BUN|LAC|PEN|CRA|NEA|SLA|WYR|LCE|WNT|SKE|MEL|BUR|ROS|RUT|HYN|RUG|BLA|CLD|CHA|BRD|NWL
LIN,RUS|NWA|HIN|NNT|NEL|NEA|PTE|NKE|BOT|ELI|WLI|SKE|MEL|LIF|RUT|KIN|LIC|FEN|CHA|ERE|SHO|SDE|NWL
NFK,NOW|SNO|NEL|ESK|NEA|BAE|GRY|NKE|ELI|BRE|WLI|MSU|KIN|WSK|LIC|ECA|FEN|NLN|BRO|SHO|NNO
NTT,RUS|RCC|MAS|GED|ASH|BOS|SCE|AMB|NEA|BAE|NKE|ERY|WLI|SKE|MEL|RYE|HAE|CHA|BRT|ERE|NWL|NGM
NYK,RIB|YOR|RCC|DAL|HAG|DUR|LAC|PEN|DNC|CRA|MDB|STT|RIH|SLA|ERY|WKF|SEL|RYE|EDN|HAE|LDS|BRD|SCE
OXF,RDG|MAS|WBK|WOX|VAL|BOS|DNC|NEA|SOX|BAE|OXO|ROT|WLI|WNT|COT|CHR|WIL|STR|NLN|SWD|BUC|WOK
SCR,ROT|BNS|DNC|SHF
SFK,BAB|COL|DEB|HIG|STA|SNO|ESK|IPS|BRE|LIF|MSU|WSK|STE|EST|TEN|NEC|SDE|CHE|BRA|STF
SOM,EDE|BAS|WIL|SSO|NSM|SWT|MEN|DST|SEG
SRY,RUN|WNM|BRC|WOI|MOL|RIC|KTT|SLG|SUR|SPE|RUH|WAE|GRT|ELM|HNS|HAT|HIL
STS,SST|WYE|BIR|WLV|TFW|NWA|STA|DUD|BRM|TAW|CAN|LIF|NWL|STE|SHR|WLL|EST|NEC|SDE|CHE|STF
WAR,REI|MOL|WEA|EPS|HAO|KTT|BIR|NUN|NWA|WOX|COV|HIN|CRW|HOR|WAW|MSS|BRM|RED|EHA|WAE|GRT|SOL|CRY|STN|WNT|SEV|TAW|HAT|LIF|COT|CHR|CHI|TAN|ELM|WYC|RUG|BRY|STR|BLA|RUH|NWL
WOR,SST|WYE|ADU|BIR|WOT|WOC|FOE|MAV|HOR|DUD|BRM|RED|ARU|BNH|SOL|COT|WYC|STR|SHR|TEW|HEF
WSX,LEE|HOR|REI|MOL|ADU|WEA|HAA|MSS|WOT|ARU|CHI|EHA|BNH|WAE|TAN|CRW
CPCA,ECA|FEN|HUN|CAM|SCA|PTE|CAB
GMCA,RCH|SKP|BUR|TRF|TAM|OLD|WGN|BOL|SLF|MAN
NECA,STY|DUR|SND|GAT
NTCA,NTY|NET|NBL
TVCA,RCC|MDB|STT|HPL|DAL
